X	Y		
154	5.850192292e-15		
154	-1e+250		
155	4.999999912e-15		
155	-1e+250		
156	1.321000567e-14		
156	-1e+250		
157	1.069382992e-14		
157	-1e+250		
158	5.189695905e-15		
158	-1e+250		
159	1.220353571e-14		
159	-1e+250		
160	4.999999912e-15		
160	-1e+250		
161	4.999999912e-15		
161	-1e+250		
162	1.544311147e-14		
162	-1e+250		
163	1.459390334e-14		
163	-1e+250		
164	8.397820064e-15		
164	-1e+250		
165	1.997222713e-14		
165	-1e+250		
166	3.311924574e-14		
166	-1e+250		
167	2.978531389e-14		
167	-1e+250		
168	7.737324101e-15		
168	-1e+250		
169	1.824235716e-14		
169	-1e+250		
170	1.314710161e-14		
170	-1e+250		
171	4.999999912e-15		
171	-1e+250		
172	7.328444356e-15		
172	-1e+250		
173	4.999999912e-15		
173	-1e+250		
174	4.999999912e-15		
174	-1e+250		
175	1.000188363e-14		
175	-1e+250		
176	4.999999912e-15		
176	-1e+250		
177	4.999999912e-15		
177	-1e+250		
178	4.999999912e-15		
178	-1e+250		
179	2.352632656e-14		
179	-1e+250		
180	5.913096347e-15		
180	-1e+250		
181	4.999999912e-15		
181	-1e+250		
182	2.038110518e-14		
182	-1e+250		
183	1.478261551e-14		
183	-1e+250		
184	1.06623779e-14		
184	-1e+250		
185	2.009803524e-14		
185	-1e+250		
186	4.999999912e-15		
186	-1e+250		
187	1.651248548e-14		
187	-1e+250		
188	4.999999912e-15		
188	-1e+250		
189	4.999999912e-15		
189	-1e+250		
190	6.41633175e-15		
190	-1e+250		
191	5.221149203e-15		
191	-1e+250		
192	4.999999912e-15		
192	-1e+250		
193	1.468825942e-14		
193	-1e+250		
194	7.04537611e-15		
194	-1e+250		
195	4.999999912e-15		
195	-1e+250		
196	8.020394041e-15		
196	-1e+250		
197	1.298983978e-14		
197	-1e+250		
198	5.913096347e-15		
198	-1e+250		
199	9.152672957e-15		
199	-1e+250		

